timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700051159884,2010,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,304,24801505,1,1,http://35.208.70.9/api/tasks,2010,0,67
1700051161899,1966,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,304,24801521,1,1,http://35.208.70.9/api/tasks,1966,0,32
1700051163866,1244,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,304,24801497,1,1,http://35.208.70.9/api/tasks,1244,0,29
1700051165114,1376,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,304,24801489,1,1,http://35.208.70.9/api/tasks,1376,0,34
1700051166492,1471,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,304,24801509,1,1,http://35.208.70.9/api/tasks,1471,0,31
1700051167964,2427,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,304,24801505,1,1,http://35.208.70.9/api/tasks,2427,0,34
1700051170392,2074,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,304,24801497,1,1,http://35.208.70.9/api/tasks,2074,0,34
1700051172466,1229,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,304,24801489,1,1,http://35.208.70.9/api/tasks,1229,0,36
1700051173696,1168,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,304,24801521,1,1,http://35.208.70.9/api/tasks,1168,0,31
1700051174865,1014,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801485,1,1,http://35.208.70.9/api/tasks,1014,0,29
1700051175880,1137,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801505,1,1,http://35.208.70.9/api/tasks,1137,0,31
1700051177018,2412,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801517,1,1,http://35.208.70.9/api/tasks,2412,0,35
1700051179431,1077,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801493,1,1,http://35.208.70.9/api/tasks,1077,0,29
1700051180507,1136,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801497,1,1,http://35.208.70.9/api/tasks,1136,0,38
1700051181644,1062,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801505,1,1,http://35.208.70.9/api/tasks,1062,0,29
1700051182708,1117,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801513,1,1,http://35.208.70.9/api/tasks,1117,0,31
1700051183826,2351,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801521,1,1,http://35.208.70.9/api/tasks,2350,0,31
1700051186177,1098,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801497,1,1,http://35.208.70.9/api/tasks,1098,0,32
1700051189735,6302,HTTP Request convertir archivo,201,Created,Prueba 1 1-2,text,true,,305,24801521,2,2,http://35.208.70.9/api/tasks,6302,0,29
1700051187276,10368,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801485,2,2,http://35.208.70.9/api/tasks,10368,0,32
1700051196038,3765,HTTP Request convertir archivo,201,Created,Prueba 1 1-2,text,true,,305,24801489,2,2,http://35.208.70.9/api/tasks,3765,0,34
1700051197646,2623,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801485,2,2,http://35.208.70.9/api/tasks,2623,0,32
1700051199804,1234,HTTP Request convertir archivo,201,Created,Prueba 1 1-2,text,true,,305,24801497,2,2,http://35.208.70.9/api/tasks,1234,0,28
1700051201039,1275,HTTP Request convertir archivo,201,Created,Prueba 1 1-2,text,true,,305,24801497,2,2,http://35.208.70.9/api/tasks,1275,0,31
1700051200270,3101,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801481,2,2,http://35.208.70.9/api/tasks,3101,0,36
1700051203372,1245,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801517,2,2,http://35.208.70.9/api/tasks,1245,0,28
1700051202315,3050,HTTP Request convertir archivo,201,Created,Prueba 1 1-2,text,true,,305,24801481,2,2,http://35.208.70.9/api/tasks,3050,0,33
1700051204618,1256,HTTP Request convertir archivo,201,Created,Prueba 1 1-1,text,true,,305,24801521,2,2,http://35.208.70.9/api/tasks,1256,0,35
