id_video,sent,received,started,succeeded,time_request
126,2023-10-28T06:23:44.058857,2023-10-28T06:23:44.059330,2023-10-28T06:23:44.061334,2023-10-28T06:24:57.314805,73255.948
124,2023-10-28T06:23:44.064743,2023-10-28T06:23:44.060957,2023-10-28T06:24:57.315518,2023-10-28T06:26:11.272805,147208.062
122,2023-10-28T06:23:44.066830,2023-10-28T06:23:44.062794,2023-10-28T06:26:11.273398,2023-10-28T06:27:26.100743,222033.913
125,2023-10-28T06:23:44.069406,2023-10-28T06:23:44.063432,2023-10-28T06:27:26.101394,2023-10-28T06:28:38.861880,294792.47400000005
123,2023-10-28T06:23:44.073631,2023-10-28T06:23:44.067788,2023-10-28T06:28:38.862582,2023-10-28T06:29:51.036382,366962.75100000005
121,2023-10-28T06:23:44.077675,2023-10-28T06:24:57.316801,2023-10-28T06:29:51.036965,2023-10-28T06:31:03.969012,439891.337
128,2023-10-28T06:23:44.974873,2023-10-28T06:26:11.274980,2023-10-28T06:31:03.969831,2023-10-28T06:32:16.943973,511969.10000000003
129,2023-10-28T06:23:44.979899,2023-10-28T06:27:26.103192,2023-10-28T06:32:16.944494,2023-10-28T06:33:30.017602,585037.703
130,2023-10-28T06:23:44.983609,2023-10-28T06:28:38.863715,2023-10-28T06:33:30.018973,2023-10-28T06:34:43.552242,658568.633
132,2023-10-28T06:23:44.993338,2023-10-28T06:29:51.038089,2023-10-28T06:34:43.552903,2023-10-28T06:35:57.083551,732090.213
127,2023-10-28T06:23:44.995673,2023-10-28T06:31:03.970758,2023-10-28T06:35:57.084131,2023-10-28T06:37:10.058743,805063.0700000001
131,2023-10-28T06:23:44.993819,2023-10-28T06:32:16.945681,2023-10-28T06:37:10.059672,2023-10-28T06:38:23.829318,878835.4990000001
135,2023-10-28T06:23:45.854016,2023-10-28T06:33:30.019372,2023-10-28T06:38:23.829752,2023-10-28T06:39:36.725463,950871.447
134,2023-10-28T06:23:45.856842,2023-10-28T06:34:43.553952,2023-10-28T06:39:36.725984,2023-10-28T06:40:49.964644,1024107.802
138,2023-10-28T06:23:45.858879,2023-10-28T06:35:57.085141,2023-10-28T06:40:49.965603,2023-10-28T06:42:03.651085,1097792.206
136,2023-10-28T06:23:45.861256,2023-10-28T06:37:10.060556,2023-10-28T06:42:03.651686,2023-10-28T06:43:17.230280,1171369.024
133,2023-10-28T06:23:45.862909,2023-10-28T06:38:23.831417,2023-10-28T06:43:17.231122,2023-10-28T06:44:30.745655,1244882.746
137,2023-10-28T06:23:45.866071,2023-10-28T06:39:36.726995,2023-10-28T06:44:30.746378,2023-10-28T06:45:44.027063,1318160.992
