id_video,sent,finished,time_request
4,2023-12-01T14:57:01.653Z,2023-12-01T15:00:08.045329Z,186392.329
9,2023-12-01T14:57:02.28Z,2023-12-01T15:00:08.640561Z,186360.561
1,2023-12-01T14:57:01.613Z,2023-12-01T15:00:21.687292Z,200074.29200000002
3,2023-12-01T14:57:01.702Z,2023-12-01T15:03:16.998913Z,375296.913
2,2023-12-01T14:57:01.657Z,2023-12-01T15:03:18.527193Z,376870.19299999997
6,2023-12-01T14:57:02.27Z,2023-12-01T15:03:23.954300Z,381684.3
10,2023-12-01T14:57:02.275Z,2023-12-01T15:06:40.219706Z,577944.706
8,2023-12-01T14:57:02.28Z,2023-12-01T15:06:38.697487Z,576417.4870000001
5,2023-12-01T14:57:01.702Z,2023-12-01T15:06:48.511798Z,586809.798
7,2023-12-01T14:57:02.325Z,2023-12-01T15:09:28.859393Z,746534.393
