id_video,sent,received,started,succeeded,time_request
24,2023-10-28T01:16:12.204789,2023-10-28T01:16:12.204305,2023-10-28T01:16:12.205095,2023-10-28T01:17:27.134889,74930.09999999999
26,2023-10-28T01:16:12.209394,2023-10-28T01:16:12.206346,2023-10-28T01:17:27.175826,2023-10-28T01:18:43.462278,151252.884
21,2023-10-28T01:16:12.212971,2023-10-28T01:16:12.211481,2023-10-28T01:18:43.463643,2023-10-28T01:19:59.310481,227097.51
25,2023-10-28T01:16:12.223946,2023-10-28T01:16:12.220370,2023-10-28T01:19:59.311143,2023-10-28T01:21:15.052353,302828.407
23,2023-10-28T01:16:12.226341,2023-10-28T01:16:12.223352,2023-10-28T01:21:15.054187,2023-10-28T01:22:31.306727,379080.386
22,2023-10-28T01:16:12.228224,2023-10-28T01:17:27.176211,2023-10-28T01:22:31.307801,2023-10-28T01:23:46.987582,454759.358
28,2023-10-28T01:16:12.939860,2023-10-28T01:18:43.464790,2023-10-28T01:23:46.988668,2023-10-28T01:25:01.992416,529052.556
29,2023-10-28T01:16:12.943285,2023-10-28T01:19:59.312413,2023-10-28T01:25:01.993470,2023-10-28T01:26:18.189216,605245.9310000001
27,2023-10-28T01:16:12.946387,2023-10-28T01:21:15.055084,2023-10-28T01:26:18.190875,2023-10-28T01:27:36.137873,683191.486
30,2023-10-28T01:16:12.951846,2023-10-28T01:22:31.308705,2023-10-28T01:27:36.138588,2023-10-28T01:28:51.640452,758688.606
33,2023-10-28T01:16:13.369054,2023-10-28T01:23:46.989666,2023-10-28T01:28:51.641188,2023-10-28T01:30:07.784399,834415.345
35,2023-10-28T01:16:13.618844,2023-10-28T01:25:01.994793,2023-10-28T01:30:07.785130,2023-10-28T01:31:23.992728,910373.884
31,2023-10-28T01:16:13.624724,2023-10-28T01:26:18.193560,2023-10-28T01:31:23.993328,2023-10-28T01:32:39.646632,986021.908
34,2023-10-28T01:16:13.628909,2023-10-28T01:27:36.140458,2023-10-28T01:32:39.647366,2023-10-28T01:33:54.004397,1060375.488
32,2023-10-28T01:16:13.632047,2023-10-28T01:28:51.642696,2023-10-28T01:33:54.005413,2023-10-28T01:35:08.332768,1134700.721
36,2023-10-28T01:16:14.222615,2023-10-28T01:30:07.786108,2023-10-28T01:35:08.333963,2023-10-28T01:36:24.214400,1209991.785
40,2023-10-28T01:16:14.225834,2023-10-28T01:31:23.994849,2023-10-28T01:36:24.215552,2023-10-28T01:37:39.831840,1285606.006
38,2023-10-28T01:16:14.233422,2023-10-28T01:32:39.648637,2023-10-28T01:37:39.832472,2023-10-28T01:38:56.999962,1362766.54
37,2023-10-28T01:16:14.235863,2023-10-28T01:33:54.006421,2023-10-28T01:38:57.000982,2023-10-28T01:40:15.133190,1440897.3269999998
39,2023-10-28T01:16:14.234742,2023-10-28T01:35:08.334849,2023-10-28T01:40:15.134278,2023-10-28T01:41:34.266667,1520031.925
