id_video,sent,received,started,succeeded,time_request
56,2023-11-09T01:30:19.414471,2023-11-09T01:30:19.415190,2023-11-09T01:30:19.417391,2023-11-09T01:31:33.444146,74029.675
54,2023-11-09T01:30:19.418881,2023-11-09T01:30:19.416432,2023-11-09T01:31:33.445484,2023-11-09T01:32:46.949639,147530.758
55,2023-11-09T01:30:19.420751,2023-11-09T01:30:19.418523,2023-11-09T01:32:46.950324,2023-11-09T01:34:00.018063,220597.31199999998
52,2023-11-09T01:30:19.433383,2023-11-09T01:30:19.426379,2023-11-09T01:34:00.018858,2023-11-09T01:35:12.644833,293211.45
51,2023-11-09T01:30:19.440293,2023-11-09T01:30:19.431030,2023-11-09T01:35:12.645654,2023-11-09T01:36:25.252643,365812.35
53,2023-11-09T01:30:19.437557,2023-11-09T01:31:33.446990,2023-11-09T01:36:25.253491,2023-11-09T01:37:37.351044,437913.48699999996
58,2023-11-09T01:30:19.834822,2023-11-09T01:32:46.951868,2023-11-09T01:37:37.351599,2023-11-09T01:38:49.968981,510134.159
59,2023-11-09T01:30:19.861733,2023-11-09T01:34:00.020692,2023-11-09T01:38:49.970267,2023-11-09T01:40:02.413737,582552.004
57,2023-11-09T01:30:19.867163,2023-11-09T01:35:12.647198,2023-11-09T01:40:02.415115,2023-11-09T01:41:15.474566,655607.4029999999
60,2023-11-09T01:30:19.963505,2023-11-09T01:36:25.254739,2023-11-09T01:41:15.475405,2023-11-09T01:42:28.181739,728218.234
61,2023-11-09T01:30:20.399830,2023-11-09T01:37:37.352859,2023-11-09T01:42:28.182766,2023-11-09T01:43:40.880925,800481.095
63,2023-11-09T01:30:20.480149,2023-11-09T01:38:49.970676,2023-11-09T01:43:40.881878,2023-11-09T01:44:53.343802,872863.653
64,2023-11-09T01:30:20.506575,2023-11-09T01:40:02.416327,2023-11-09T01:44:53.344891,2023-11-09T01:46:05.495384,944988.8089999999
65,2023-11-09T01:30:20.535205,2023-11-09T01:41:15.476947,2023-11-09T01:46:05.496463,2023-11-09T01:47:18.302615,1017767.41
66,2023-11-09T01:30:20.544273,2023-11-09T01:42:28.183390,2023-11-09T01:47:18.303659,2023-11-09T01:48:31.245362,1090701.089
62,2023-11-09T01:30:20.567242,2023-11-09T01:43:40.882758,2023-11-09T01:48:31.246513,2023-11-09T01:49:44.942839,1164375.597
67,2023-11-09T01:30:20.696376,2023-11-09T01:44:53.346143,2023-11-09T01:49:44.944111,2023-11-09T01:50:58.470122,1237773.746
68,2023-11-09T01:30:20.804538,2023-11-09T01:46:05.497216,2023-11-09T01:50:58.471742,2023-11-09T01:52:12.038545,1311234.007
70,2023-11-09T01:30:20.870794,2023-11-09T01:47:18.304665,2023-11-09T01:52:12.039676,2023-11-09T01:53:24.547968,1383677.1739999999
69,2023-11-09T01:30:21.033559,2023-11-09T01:48:31.247702,2023-11-09T01:53:24.549106,2023-11-09T01:54:37.174654,1456141.095
